city,date,temp_max,temp_min,humidity_max,humidity_min,wind_speed,precipitation,pm25,pm10,no2,so2,o3,co,AQI
New Delhi,2025-09-26,37.0,25.8,76.0,31.0,13.9,0.0,32.389319444444446,75.1932638888889,10.662888888888892,2.9535277777777784,82.87030555555556,329.1085416666667,32.389319444444446
New Delhi,2025-09-27,38.5,26.9,74.0,35.0,8.1,0.4,52.94755555555556,95.54386111111113,10.56502777777778,4.773708333333333,93.22679166666667,413.0582083333333,52.94755555555556
New Delhi,2025-09-28,37.0,28.7,76.0,39.0,13.1,0.0,53.755520000000004,86.03197055555556,8.91149277777778,4.833067777777779,97.77259555555554,432.72221777777776,53.755520000000004
New Delhi,2025-09-29,36.9,24.9,90.0,38.0,8.2,7.2,48.929450555555555,64.4774288888889,7.849103888888891,4.425553888888889,99.93510944444445,455.6101622222222,48.929450555555555
New Delhi,2025-09-30,34.2,24.9,92.0,52.0,5.9,0.3,34.35320055555556,42.13205388888889,8.45486777777778,2.341220555555556,88.61210944444444,456.1446066666667,34.35320055555556
New Delhi,2025-10-01,33.1,24.0,94.0,52.0,9.5,3.2,33.382555555555555,43.39761111111112,10.979041666666669,2.1018472222222226,78.90368055555557,500.0,33.382555555555555
New Delhi,2025-10-02,32.3,24.7,94.0,49.0,10.3,2.2,35.77509722222223,46.93613888888889,10.970194444444447,2.139583333333334,78.47125000000001,500.0,35.77509722222223
New Delhi,2025-10-03,33.7,25.2,94.0,48.0,7.9,0.2,43.08218055555555,55.280188888888894,11.160478333333337,2.718603333333334,83.62717277777779,500.0,43.08218055555555
New Delhi,2025-10-04,34.5,25.0,86.0,39.0,12.4,0.0,58.92051388888889,72.81700833333333,10.38842277777778,3.563242222222222,96.10952000000002,500.0,58.92051388888889
New Delhi,2025-10-05,34.2,22.4,91.0,36.0,14.5,9.9,59.417402777777774,77.87328611111111,10.02604777777778,3.5235200000000004,99.18401999999999,500.0,59.417402777777774
New Delhi,2025-10-06,29.3,21.8,96.0,56.0,10.3,7.9,45.0917638888889,63.21358333333333,9.070750000000002,2.896472222222223,89.44722222222222,466.08213888888895,45.0917638888889
New Delhi,2025-10-07,28.8,20.4,98.0,63.0,10.8,6.6,27.648472222222228,46.209944444444446,9.306375000000003,1.9718472222222228,77.97381944444444,380.7523055555556,27.648472222222228
New Delhi,2025-10-08,26.2,20.4,98.0,66.0,10.3,0.7,28.162997777777782,46.61004833333333,10.480672222222227,1.8302194444444446,74.00325111111113,415.68806500000005,28.162997777777782
New Delhi,2025-10-09,28.4,19.5,94.0,48.0,8.5,0.1,38.948303333333335,62.345284444444445,12.876102777777781,2.508747222222223,83.9645011111111,500.0,38.948303333333335
New Delhi,2025-10-10,28.6,19.4,89.0,43.0,5.9,0.0,53.18908111111111,87.03661777777779,15.898422222222225,3.427413888888889,91.9766538888889,500.0,53.18908111111111
New Delhi,2025-10-11,29.0,19.6,89.0,46.0,9.6,0.0,61.21645833333334,97.0426527777778,15.810708333333336,4.405736111111111,101.57658333333335,500.0,61.21645833333334
New Delhi,2025-10-12,30.7,20.6,86.0,40.0,10.1,0.0,62.35233333333334,98.68877777777777,15.688472222222225,4.716833333333333,102.20906944444445,500.0,62.35233333333334
New Delhi,2025-10-13,31.7,20.6,84.0,34.0,7.1,0.0,64.0599988888889,96.06739999999998,16.980982777777783,5.353046111111111,103.26560111111111,500.0,64.0599988888889
New Delhi,2025-10-14,31.8,21.2,79.0,29.0,7.0,0.0,72.59251277777777,107.48771944444445,21.29048277777778,6.531532222222222,101.90114277777776,500.0,72.59251277777777
New Delhi,2025-10-15,31.9,20.2,78.0,29.0,8.5,0.0,86.17715166666666,123.99717777777778,25.182177222222222,7.9750738888888915,104.70174,500.0,86.17715166666666
New Delhi,2025-10-16,31.5,20.3,77.0,34.0,7.3,0.0,92.20773611111112,129.73404166666668,26.17044444444445,8.225930555555555,109.79420833333333,500.0,92.20773611111112
New Delhi,2025-10-17,32.2,20.4,79.0,36.0,7.6,0.0,93.85295833333335,131.02754166666665,26.85763888888889,8.008000000000001,111.65519444444446,500.0,93.85295833333335
New Delhi,2025-10-18,33.3,21.7,81.0,30.0,5.7,0.0,96.16625777777779,133.24694499999998,24.232101111111113,7.540707777777779,115.8647388888889,500.0,96.16625777777779
New Delhi,2025-10-19,33.6,23.1,73.0,28.0,6.5,0.0,101.50366055555556,135.8835977777778,20.856253888888894,7.788249444444445,118.34268333333333,500.0,101.50366055555556
